doc_id,intent_node,title,source_type,source_urls,path
product-主要配件-adapter-140w,参数与卖点 KB,华为超级快充电源适配器（Max 140 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086825800605&sbomCode=3102020059501 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/adapter-140w_华为超级快充电源适配器（Max 140 W）.md
product-主要配件-cable-6a-a-c,参数与卖点 KB,华为 6A 数据线 USB-A 转 USB-C 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086393994098&sbomCode=3102030014001 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/cable-6a-a-c_华为 6A 数据线 USB-A 转 USB-C.md
product-主要配件-cable-6a-c-c,参数与卖点 KB,华为 6A 数据线 USB-C 转 USB-C 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086739052336&sbomCode=3102030017405 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/cable-6a-c-c_华为 6A 数据线 USB-C 转 USB-C.md
product-主要配件-charger-40w,参数与卖点 KB,华为超级快充充电器（Max 40 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086822159053&sbomCode=3102020071401 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/charger-40w_华为超级快充充电器（Max 40 W）.md
product-主要配件-charger-ice-100w,参数与卖点 KB,华为冰糖全能充电器（Max 100 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086826276433&sbomCode=3102020067006 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/charger-ice-100w_华为冰糖全能充电器（Max 100 W）.md
product-主要配件-charger-ice-66w,参数与卖点 KB,华为冰糖全能充电器（Max 66 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086506294533&sbomCode=3102020066502 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/charger-ice-66w_华为冰糖全能充电器（Max 66 W）.md
product-主要配件-charger-multiport-100w-premium,参数与卖点 KB,华为全能充多口充电器（Max 100 W）黑色 尊享版 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086400057044&sbomCode=3102020070501 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/charger-multiport-100w-premium_华为全能充多口充电器（Max 100 W）黑色 尊享版.md
product-主要配件-charger-multiport-100w,参数与卖点 KB,华为全能充多口充电器（Max 100 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086826293656&sbomCode=3102020059201 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/charger-multiport-100w_华为全能充多口充电器（Max 100 W）.md
product-主要配件-m-pen-3-mini,参数与卖点 KB,M-Pen 3 Mini 多功能笔 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086270785193&sbomCode=3104230013802 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/m-pen-3-mini_M-Pen 3 Mini 多功能笔.md
product-主要配件-m-pencil-3-set,参数与卖点 KB,M-Pencil（第三代）平板创作笔套装 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086167840443&sbomCode=3105030004201 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/m-pencil-3-set_M-Pencil（第三代）平板创作笔套装.md
product-主要配件-m-pencil-pro,参数与卖点 KB,M-Pencil Pro 平板创作笔 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086149128760&sbomCode=3105030006601 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/m-pencil-pro_M-Pencil Pro 平板创作笔.md
product-主要配件-magnetic-powerbank,参数与卖点 KB,华为全能充磁吸移动电源 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086225014224&sbomCode=3102010027101 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/magnetic-powerbank_华为全能充磁吸移动电源.md
product-主要配件-mate80-leather-case,参数与卖点 KB,Mate 80/Mate 80 Pro 素皮保护壳 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086849542848&sbomCode=3103010103904 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/mate80-leather-case_Mate 80_Mate 80 Pro 素皮保护壳.md
